date,actual_return,dir_prob,clf_signal_basic,clf_signal_atr,atr_active,strategy_return_basic,strategy_return_atr,cum_basic,cum_atr,cum_hold
2024-03-06,7.59911547539199e-05,0.4992577135562897,-1.0,0.0,0.0,-7.59911547539199e-05,0.0,0.018268698774942527,0.0052072374069565,-0.01938772007986822
2024-03-07,0.004002993860566666,0.4916905164718628,-1.0,0.0,0.0,-0.004002993860566666,0.0,0.014192575425339138,0.0052072374069565,-0.015462335143751726
2024-03-08,0.004632161004990791,0.4872231185436249,-1.0,0.0,0.0,-0.004632161004990791,0.0,0.009494672125902825,0.0052072374069565,-0.01090179816465986
2024-03-11,-0.0006567834304138422,0.48756349086761475,-1.0,0.0,0.0,0.0006567834304138422,-0.0,0.010157691499646182,0.0052072374069565,-0.01155142147467747
2024-03-12,-0.0010609555545411638,0.4907764494419098,-1.0,0.0,0.0,0.0010609555545411638,-0.0,0.011229423913405201,0.0052072374069565,-0.012600121484442228
2024-03-13,-0.00032786603029042014,0.4896526634693146,-1.0,0.0,0.0,0.00032786603029042014,-0.0,0.01156097169033643,0.0052072374069565,-0.012923856362920372
2024-03-14,0.0025165550941543685,0.4848620593547821,-1.0,0.0,0.0,-0.0025165550941543685,0.0,0.009015322773981316,0.0052072374069565,-0.010439824865332237
2024-03-15,-0.006584324557311425,0.4843501150608063,-1.0,-1.0,1.0,0.006584324557311425,0.006584324557311425,0.01565900714242563,0.011825848105402326,-0.016955410227408763
2024-03-18,-7.623792150198477e-05,0.484995037317276,-1.0,-1.0,1.0,7.623792150198477e-05,7.623792150198477e-05,0.015736438874085046,0.011902987604983872,-0.01703035550367682
2024-03-19,-0.000794052298820581,0.48582443594932556,-1.0,-1.0,1.0,0.000794052298820581,0.000794052298820581,0.016542986728368847,0.012706491498474914,-0.017810884809559946
2024-03-20,-0.0009782543487731165,0.486104279756546,-1.0,-1.0,1.0,0.0009782543487731165,0.0009782543487731165,0.017537424325850592,0.013697176027813951,-0.018771715582812543
2024-03-21,0.006780030280211767,0.48944661021232605,-1.0,-1.0,1.0,-0.006780030280211767,-0.006780030280211767,0.010638489777672566,0.006824278479380164,-0.012118958102663835
2024-03-22,-0.006866944757079783,0.4905856251716614,-1.0,-1.0,1.0,0.006866944757079783,0.006866944757079783,0.017578488456354346,0.01373808517978481,-0.01890268264393935
2024-03-25,-0.005059854735420729,0.4959772527217865,-1.0,0.0,1.0,0.005059854735420729,-0.0,0.022727287789832573,0.01373808517978481,-0.023866892551071994
2024-03-26,0.0028355898951227965,0.4997945725917816,-1.0,0.0,1.0,-0.0028355898951227965,0.0,0.019827252627109493,0.01373808517978481,-0.021098979375294924
2024-03-27,-0.000541735721696503,0.496203750371933,-1.0,0.0,1.0,0.000541735721696503,-0.0,0.020379729479817366,0.01373808517978481,-0.02162928502617245
2024-03-28,-0.0017533000294245103,0.4907262623310089,-1.0,-1.0,1.0,0.0017533000294245103,0.0017533000294245103,0.022168761289538486,0.015515472194359337,-0.023344662429524154
2024-03-29,-0.0017503055199580492,0.489229291677475,-1.0,-1.0,1.0,0.0017503055199580492,0.0017503055199580492,0.023957868914752378,0.01729293453094405,-0.025054107657970226
2024-04-01,-0.00016180108386803512,0.4912460446357727,-1.0,-1.0,1.0,0.00016180108386803512,0.00016180108386803512,0.02412354640777803,0.0174575336303624,-0.02521185496006384
2024-04-02,-0.005156421839743476,0.49868127703666687,-1.0,0.0,1.0,0.005156421839743476,-0.0,0.029404359429070714,0.0174575336303624,-0.03023827384027089
2024-04-03,0.002914025833319365,0.49681052565574646,-1.0,0.0,1.0,-0.002914025833319365,0.0,0.02640464853276292,0.0174575336303624,-0.027412363118077043
2024-04-04,0.006460427276889821,0.49335262179374695,-1.0,-1.0,1.0,-0.006460427276889821,-0.006460427276889821,0.019773635944255297,0.01088432322701971,-0.02112903141959932
2024-04-05,-0.00011923458450640673,0.4902278184890747,-1.0,-1.0,1.0,0.00011923458450640673,0.00011923458450640673,0.01989522823002776,0.01100485559928388,-0.02124574669282331
2024-04-08,-0.0006067326380173935,0.49563485383987427,-1.0,0.0,1.0,0.0006067326380173935,-0.0,0.02051403195235313,0.01100485559928388,-0.021839588842903046
2024-04-09,0.003058958337697158,0.4982665181159973,-1.0,0.0,1.0,-0.003058958337697158,0.0,0.017392322045575392,0.01100485559928388,-0.01884743689758872
2024-04-10,-0.0004019198697015849,0.4950198233127594,-1.0,0.0,1.0,0.0004019198697015849,-0.0,0.01780123223508734,0.01100485559928388,-0.019241781607908237
2024-04-11,-0.010886717095524747,0.49533703923225403,-1.0,0.0,1.0,0.010886717095524747,-0.0,0.02888174630990714,0.01100485559928388,-0.029919018870653846
2024-04-12,-0.0013847416017447754,0.49869129061698914,-1.0,0.0,1.0,0.0013847416017447754,-0.0,0.030306481667298213,0.01100485559928388,-0.031262330362284985
2024-04-15,-0.007225148247919505,0.49807658791542053,-1.0,0.0,1.0,0.007225148247919505,-0.0,0.0377505987381368,0.01100485559928388,-0.03826160363876152
2024-04-16,-0.0022446258334513653,0.49832212924957275,-1.0,0.0,1.0,0.0022446258334513653,-0.0,0.04007996054074403,0.01100485559928388,-0.0404203464882561
2024-04-17,-0.000403625498250325,0.4914224147796631,-1.0,-1.0,1.0,0.000403625498250325,0.000403625498250325,0.040499763333037286,0.01141292293785856,-0.0408076573040157
2024-04-18,0.004503013980535367,0.48688822984695435,-1.0,-1.0,1.0,-0.004503013980535367,-0.004503013980535367,0.03581437835200485,0.006858516405775283,-0.036488400774833285
2024-04-19,-0.0023658880343129613,0.48720771074295044,-1.0,-1.0,1.0,0.0023658880343129613,0.0023658880343129613,0.03826499919551707,0.009240630921985682,-0.0387679613383618
2024-04-22,0.00132077743040315,0.49141964316368103,-1.0,-1.0,1.0,-0.00132077743040315,-0.00132077743040315,0.03689368221780209,0.00790764867481819,-0.037498387756317086
2024-04-23,-0.00039422626838334047,0.49302271008491516,-1.0,-1.0,1.0,0.00039422626838334047,0.00039422626838334047,0.037302452944853126,0.008304992346030327,-0.03787783117522492
2024-04-24,0.004709463664304997,0.4907742440700531,-1.0,-1.0,1.0,-0.004709463664304997,-0.004709463664304997,0.03241731473381493,0.0035564166220394267,-0.033346751780522266
2024-04-25,-0.0004173729458229782,0.4897627830505371,-1.0,-1.0,1.0,0.0004173729458229782,0.0004173729458229782,0.03284821778978397,0.003975273919944566,-0.03375020669432105
2024-04-26,0.002775201791036396,0.488794207572937,-1.0,-1.0,1.0,-0.002775201791036396,-0.002775201791036396,0.029981855565905047,0.0011890399416056852,-0.031068668537350685
2024-04-29,-0.002122318925900117,0.4858644902706146,-1.0,-1.0,1.0,0.002122318925900117,0.002122318925900117,0.03216780555130616,0.003313882389477607,-0.03312504984001141
2024-04-30,0.0008247938079739085,0.4842642843723297,-1.0,-1.0,1.0,-0.0008247938079739085,-0.0008247938079739085,0.03131647993649733,0.002486355311828392,-0.03232757736803438
